what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1470190825458
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1470190825459
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1470190825460
os,sysinfo,,,"win32",1470190825468
arch,sysinfo,,,"x86_64",1470190825468
ws,sysinfo,,,"win32",1470190825468
locale,sysinfo,,,"en_US",1470190825468
processors,sysinfo,,,"4",1470190825468
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1470190825468
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1470190825468
java.specification.name,sysinfo,,,"Java Platform API Specification",1470190825468
java.specification.vendor,sysinfo,,,"Oracle Corporation",1470190825469
java.specification.version,sysinfo,,,"1.7",1470190825469
java.vendor,sysinfo,,,"Oracle Corporation",1470190825469
java.version,sysinfo,,,"1.7.0_79",1470190825469
java.vm.info,sysinfo,,,"mixed mode",1470190825469
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1470190825469
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1470190825469
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1470190825469
java.vm.specification.version,sysinfo,,,"1.7",1470190825469
java.vm.vendor,sysinfo,,,"Oracle Corporation",1470190825469
java.vm.version,sysinfo,,,"24.79-b02",1470190825469
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1470190826824
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1470190826826
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1470190827319
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1470190828003
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1470190828606
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470190839177
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470190839343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470191532327
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470192230317
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1470192234777
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1470192235515
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1470192235537
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1470192235569
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1470192235960
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1470192236073
opened,view,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.ResultView",1470192236486
activated,view,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.ResultView",1470192236610
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1470192238056
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470192273869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470192884293
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470192885603
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470193900589
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470193906485
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470193912117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470193922054
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470193951413
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470193952037
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470193952162
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1470193953956
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470193954065
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1470193955672
