what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1468203192855
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1468203192856
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1468203192858
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1468203192858
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1468203192859
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1468203192861
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1468203192884
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1468203192886
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1468203192967
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1468203192970
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1468203192971
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1468203193000
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1468203193001
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1468203193003
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1468203193065
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1468203193065
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1468203193067
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1468203193129
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1468203193130
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1468203193132
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1468203193133
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1468203193168
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1468203193170
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1468203193172
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1468203193241
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1468203193242
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1468203193244
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1468203193245
os,sysinfo,,,"win32",1468203193253
arch,sysinfo,,,"x86_64",1468203193253
ws,sysinfo,,,"win32",1468203193253
locale,sysinfo,,,"en_US",1468203193253
processors,sysinfo,,,"4",1468203193253
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1468203193253
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1468203193253
java.specification.name,sysinfo,,,"Java Platform API Specification",1468203193253
java.specification.vendor,sysinfo,,,"Oracle Corporation",1468203193253
java.specification.version,sysinfo,,,"1.7",1468203193253
java.vendor,sysinfo,,,"Oracle Corporation",1468203193253
java.version,sysinfo,,,"1.7.0_79",1468203193253
java.vm.info,sysinfo,,,"mixed mode",1468203193253
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1468203193253
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1468203193253
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1468203193253
java.vm.specification.version,sysinfo,,,"1.7",1468203193253
java.vm.vendor,sysinfo,,,"Oracle Corporation",1468203193253
java.vm.version,sysinfo,,,"24.79-b02",1468203193253
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1468203194458
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1468203194460
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1468203194731
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1468203194853
